year,state,total vote,r_votes,d_votes,other_votes,winner,r_pct,d_pct,o_pct,r_margin,state_abbr
1976,California,7867117.0,3882244.0,3742284.0,242589.0,REP,49.35,47.57,3.08,1.7800000000000011,CA
1976,Hawaii,291301.0,140003.0,147375.0,3923.0,DEM,48.06,50.59,1.35,-2.530000000000001,HI
1976,Illinois,4718833.0,2364269.0,2271295.0,83269.0,REP,50.1,48.13,1.76,1.9699999999999989,IL
1976,Iowa,1279306.0,632863.0,619931.0,26512.0,REP,49.47,48.46,2.07,1.009999999999998,IA
1976,Maine,483208.0,236320.0,232279.0,14609.0,REP,48.91,48.07,3.02,0.8399999999999963,ME
1976,Mississippi,769360.0,366846.0,381309.0,21205.0,DEM,47.68,49.56,2.76,-1.8800000000000026,MS
1976,Missouri,1953600.0,927443.0,998387.0,27770.0,DEM,47.47,51.1,1.42,-3.6300000000000026,MO
1976,Nevada,201876.0,101273.0,92479.0,8124.0,REP,50.17,45.81,4.02,4.359999999999999,NV
1976,New Jersey,3014472.0,1509688.0,1444653.0,60131.0,REP,50.08,47.92,1.99,2.1599999999999966,NJ
1976,New Mexico,416590.0,211419.0,201148.0,4023.0,REP,50.75,48.28,0.97,2.469999999999999,NM
1976,New York,6534420.0,3100791.0,3389558.0,44071.0,DEM,47.45,51.87,0.67,-4.419999999999995,NY
1976,Ohio,4111873.0,2000505.0,2011621.0,99747.0,DEM,48.65,48.92,2.43,-0.2700000000000031,OH
1976,Oklahoma,1092251.0,545708.0,532442.0,14101.0,REP,49.96,48.75,1.29,1.2100000000000009,OK
1976,Oregon,1029876.0,492120.0,490407.0,47349.0,REP,47.78,47.62,4.6,0.1600000000000037,OR
1976,Pennsylvania,4620787.0,2205604.0,2328677.0,86506.0,DEM,47.73,50.4,1.87,-2.6700000000000017,PA
1976,South Dakota,300678.0,151505.0,147068.0,2105.0,REP,50.39,48.91,0.7,1.480000000000004,SD
1976,Texas,4071884.0,1953300.0,2082319.0,36265.0,DEM,47.97,51.14,0.89,-3.1700000000000017,TX
1976,Virginia,1697094.0,836554.0,813896.0,46644.0,REP,49.29,47.96,2.75,1.3299999999999983,VA
1976,Washington,1555534.0,777732.0,717323.0,60479.0,REP,50.0,46.11,3.89,3.8900000000000006,WA
1976,Wisconsin,2101336.0,1004987.0,1040232.0,56117.0,DEM,47.83,49.5,2.67,-1.6700000000000017,WI
1980,Alabama,1341929.0,636730.0,654192.0,51007.0,REP,47.45,48.75,3.8,-1.2999999999999972,AL
1980,Arkansas,837582.0,398041.0,403164.0,36377.0,REP,47.52,48.13,4.34,-0.6099999999999994,AR
1980,Delaware,235668.0,105754.0,111252.0,18662.0,REP,44.87,47.21,7.92,-2.3400000000000034,DE
1980,Hawaii,303287.0,135879.0,130112.0,37296.0,DEM,44.8,42.9,12.3,1.8999999999999986,HI
1980,Kentucky,1294627.0,616417.0,635274.0,42936.0,REP,47.61,49.07,3.32,-1.4600000000000009,KY
1980,Maine,523011.0,220974.0,238522.0,63515.0,REP,42.25,45.61,12.14,-3.3599999999999994,ME
1980,Maryland,1540496.0,726161.0,680606.0,133729.0,DEM,47.14,44.18,8.68,2.960000000000001,MD
1980,Massachusetts,2524298.0,1053802.0,1057631.0,412865.0,REP,41.75,41.9,16.36,-0.14999999999999858,MA
1980,Minnesota,2051953.0,954174.0,873241.0,224538.0,DEM,46.5,42.56,10.94,3.9399999999999977,MN
1980,Mississippi,892620.0,429281.0,441089.0,22250.0,REP,48.09,49.42,2.49,-1.3299999999999983,MS
1980,New York,6201959.0,2728372.0,2893831.0,579756.0,REP,43.99,46.66,9.35,-2.6699999999999946,NY
1980,North Carolina,1855833.0,875635.0,915018.0,65180.0,REP,47.18,49.3,3.51,-2.1199999999999974,NC
1980,South Carolina,890083.0,427560.0,441207.0,21316.0,REP,48.04,49.57,2.39,-1.5300000000000011,SC
1980,Tennessee,1617616.0,783051.0,787761.0,46804.0,REP,48.41,48.7,2.89,-0.29000000000000625,TN
1980,West Virginia,737715.0,367462.0,334206.0,36047.0,DEM,49.81,45.3,4.89,4.510000000000005,WV
1980,Wisconsin,2273221.0,981584.0,1088845.0,202792.0,REP,43.18,47.9,8.92,-4.719999999999999,WI
1984,Massachusetts,2559453.0,1239606.0,1310936.0,8911.0,REP,48.43,51.22,0.35,-2.789999999999999,MA
1984,Minnesota,2084449.0,1036364.0,1032603.0,15482.0,DEM,49.72,49.54,0.74,0.17999999999999972,MN
1984,Rhode Island,410492.0,197106.0,212080.0,1306.0,REP,48.02,51.66,0.32,-3.6399999999999935,RI
1988,California,9887064.0,4702233.0,5054917.0,129914.0,REP,47.56,51.13,1.31,-3.5700000000000003,CA
1988,Illinois,4559120.0,2215940.0,2310939.0,32241.0,REP,48.6,50.69,0.71,-2.0899999999999963,IL
1988,Maryland,1714358.0,826304.0,876167.0,11887.0,REP,48.2,51.11,0.69,-2.9099999999999966,MD
1988,Missouri,2093228.0,1001619.0,1084953.0,6656.0,REP,47.85,51.83,0.32,-3.979999999999997,MO
1988,New Mexico,521287.0,244497.0,270341.0,6449.0,REP,46.9,51.86,1.24,-4.960000000000001,NM
1988,New York,6485683.0,3347882.0,3081871.0,55930.0,DEM,51.62,47.52,0.86,4.099999999999994,NY
1988,Oregon,1201694.0,616206.0,560126.0,25362.0,DEM,51.28,46.61,2.11,4.670000000000002,OR
1988,Pennsylvania,4536251.0,2194944.0,2300087.0,41220.0,REP,48.39,50.7,0.91,-2.3100000000000023,PA
1988,Vermont,243333.0,115775.0,124331.0,3227.0,REP,47.58,51.1,1.33,-3.520000000000003,VT
1988,Washington,1865253.0,933516.0,903835.0,27902.0,DEM,50.05,48.46,1.5,1.5899999999999963,WA
1988,West Virginia,653311.0,341016.0,310065.0,2230.0,DEM,52.2,47.46,0.34,4.740000000000002,WV
1988,Wisconsin,2191608.0,1126794.0,1047499.0,17315.0,DEM,51.41,47.8,0.79,3.6099999999999994,WI
1992,Arizona,1487006.0,572086.0,543050.0,371870.0,REP,38.47,36.52,25.01,1.9499999999999957,AZ
1992,Colorado,1569180.0,562850.0,629681.0,376649.0,DEM,35.87,40.13,24.0,-4.260000000000005,CO
1992,Florida,5314392.0,2173310.0,2072698.0,1068384.0,REP,40.89,39.0,20.1,1.8900000000000006,FL
1992,Georgia,2321133.0,995252.0,1008966.0,316915.0,DEM,42.88,43.47,13.65,-0.5899999999999963,GA
1992,Kentucky,1492900.0,617178.0,665104.0,210618.0,DEM,41.34,44.55,14.11,-3.2099999999999937,KY
1992,Louisiana,1790017.0,733386.0,815971.0,240660.0,DEM,40.97,45.58,13.44,-4.609999999999999,LA
1992,Montana,410611.0,144207.0,154507.0,111897.0,DEM,35.12,37.63,27.25,-2.510000000000005,MT
1992,Nevada,506318.0,175828.0,189148.0,141342.0,DEM,34.73,37.36,27.92,-2.6300000000000026,NV
1992,New Hampshire,537945.0,202484.0,209040.0,126421.0,DEM,37.64,38.86,23.5,-1.2199999999999989,NH
1992,New Jersey,3343594.0,1356865.0,1436206.0,550523.0,DEM,40.58,42.95,16.47,-2.3700000000000045,NJ
1992,North Carolina,2611850.0,1134661.0,1114042.0,363147.0,REP,43.44,42.65,13.9,0.7899999999999991,NC
1992,Ohio,4939964.0,1894310.0,1984942.0,1060712.0,DEM,38.35,40.18,21.47,-1.8299999999999983,OH
1992,South Dakota,336254.0,136718.0,124888.0,74648.0,REP,40.66,37.14,22.2,3.519999999999996,SD
1992,Tennessee,1982638.0,841300.0,933521.0,207817.0,DEM,42.43,47.08,10.48,-4.649999999999999,TN
1992,Texas,6154018.0,2496071.0,2281815.0,1376132.0,REP,40.56,37.08,22.36,3.480000000000004,TX
1992,Virginia,2558665.0,1150517.0,1038650.0,369498.0,REP,44.97,40.59,14.44,4.3799999999999955,VA
1992,Wisconsin,2531114.0,930855.0,1041066.0,559193.0,DEM,36.78,41.13,22.09,-4.350000000000001,WI
1996,Arizona,1404405.0,622073.0,653288.0,129044.0,DEM,44.29,46.52,9.19,-2.230000000000004,AZ
1996,Colorado,1510704.0,691848.0,671152.0,147704.0,REP,45.8,44.43,9.78,1.3699999999999974,CO
1996,Georgia,2299071.0,1080843.0,1053849.0,164379.0,REP,47.01,45.84,7.15,1.1699999999999946,GA
1996,Kentucky,1388708.0,623283.0,636614.0,128811.0,DEM,44.88,45.84,9.28,-0.9600000000000009,KY
1996,Montana,407261.0,179652.0,167922.0,59687.0,REP,44.11,41.23,14.66,2.8800000000000026,MT
1996,Nevada,464279.0,199244.0,203974.0,61061.0,DEM,42.91,43.93,13.15,-1.0200000000000031,NV
1996,North Carolina,2515807.0,1225938.0,1107849.0,182020.0,REP,48.73,44.04,7.24,4.689999999999998,NC
1996,South Dakota,323826.0,150543.0,139333.0,33950.0,REP,46.49,43.03,10.48,3.460000000000001,SD
1996,Tennessee,1894105.0,863530.0,909146.0,121429.0,DEM,45.59,48.0,6.41,-2.4099999999999966,TN
1996,Texas,5611644.0,2736167.0,2459683.0,415794.0,REP,48.76,43.83,7.41,4.93,TX
1996,Virginia,2416642.0,1138350.0,1091060.0,187232.0,REP,47.1,45.15,7.75,1.9500000000000028,VA
2000,Florida,5963110.0,2912790.0,2912253.0,138067.0,REP,48.85,48.84,2.32,0.00999999999999801,FL
2000,Iowa,1315563.0,634373.0,638517.0,42673.0,DEM,48.22,48.54,3.24,-0.3200000000000003,IA
2000,Minnesota,2438685.0,1109659.0,1168266.0,160760.0,DEM,45.5,47.91,6.59,-2.4099999999999966,MN
2000,Missouri,2359892.0,1189924.0,1111138.0,58830.0,REP,50.42,47.08,2.49,3.3400000000000034,MO
2000,Nevada,608970.0,301575.0,279978.0,27417.0,REP,49.52,45.98,4.5,3.5400000000000063,NV
2000,New Hampshire,569081.0,273559.0,266348.0,29174.0,REP,48.07,46.8,5.13,1.2700000000000031,NH
2000,New Mexico,598605.0,286417.0,286783.0,25405.0,DEM,47.85,47.91,4.24,-0.05999999999999517,NM
2000,Ohio,4705457.0,2351209.0,2186190.0,168058.0,REP,49.97,46.46,3.57,3.509999999999998,OH
2000,Oregon,1533968.0,713577.0,720342.0,100049.0,DEM,46.52,46.96,6.52,-0.4399999999999977,OR
2000,Pennsylvania,4913119.0,2281127.0,2485967.0,146025.0,DEM,46.43,50.6,2.97,-4.170000000000002,PA
2000,Tennessee,2076181.0,1061949.0,981720.0,32512.0,REP,51.15,47.28,1.57,3.8699999999999974,TN
2000,Wisconsin,2598607.0,1237279.0,1242987.0,118341.0,DEM,47.61,47.83,4.55,-0.21999999999999886,WI
2004,Colorado,2130325.0,1101256.0,1001725.0,27344.0,REP,51.69,47.02,1.28,4.669999999999995,CO
2004,Iowa,1506908.0,751957.0,741898.0,13053.0,REP,49.9,49.23,0.87,0.6700000000000017,IA
2004,Michigan,4839252.0,2313746.0,2479183.0,46323.0,DEM,47.81,51.23,0.96,-3.4199999999999946,MI
2004,Minnesota,2828387.0,1346695.0,1445014.0,36678.0,DEM,47.61,51.09,1.3,-3.480000000000004,MN
2004,Nevada,829587.0,418690.0,397190.0,13707.0,REP,50.47,47.88,1.65,2.5899999999999963,NV
2004,New Hampshire,677738.0,331237.0,340511.0,5990.0,DEM,48.87,50.24,0.88,-1.3700000000000045,NH
2004,New Mexico,756304.0,376930.0,370942.0,8432.0,REP,49.84,49.05,1.11,0.7900000000000063,NM
2004,Ohio,5627908.0,2859768.0,2741167.0,26973.0,REP,50.81,48.71,0.48,2.1000000000000014,OH
2004,Oregon,1836782.0,866831.0,943163.0,26788.0,DEM,47.19,51.35,1.46,-4.160000000000004,OR
2004,Pennsylvania,5769590.0,2793847.0,2938095.0,37648.0,DEM,48.42,50.92,0.65,-2.5,PA
2004,Wisconsin,2997007.0,1478120.0,1489504.0,29383.0,DEM,49.32,49.7,0.98,-0.38000000000000256,WI
2008,Florida,8412248.0,4046219.0,4282367.0,83662.0,DEM,48.1,50.91,0.99,-2.809999999999995,FL
2008,Indiana,2756658.0,1345648.0,1374039.0,36971.0,DEM,48.81,49.84,1.34,-1.0300000000000011,IN
2008,Missouri,2929111.0,1445814.0,1441911.0,41386.0,REP,49.36,49.23,1.41,0.13000000000000256,MO
2008,Montana,492750.0,243882.0,232159.0,16709.0,REP,49.49,47.11,3.39,2.3800000000000026,MT
2008,North Carolina,4310789.0,2128474.0,2142651.0,39664.0,DEM,49.38,49.7,0.92,-0.3200000000000003,NC
2008,Ohio,5721831.0,2677820.0,2940044.0,103967.0,DEM,46.8,51.38,1.82,-4.580000000000005,OH
2012,Florida,8492175.0,4163447.0,4237756.0,90972.0,DEM,49.03,49.9,1.07,-0.8699999999999974,FL
2012,North Carolina,4505372.0,2270395.0,2178391.0,56586.0,REP,50.39,48.35,1.26,2.039999999999999,NC
2012,Ohio,5590934.0,2661437.0,2827709.0,101788.0,DEM,47.6,50.58,1.82,-2.979999999999997,OH
2012,Virginia,3854489.0,1822522.0,1971820.0,60147.0,DEM,47.28,51.16,1.56,-3.8799999999999955,VA
2016,Arizona,2604657.0,1252401.0,1161167.0,191089.0,REP,48.08,44.58,7.34,3.5,AZ
2016,Colorado,2780247.0,1202484.0,1338870.0,238893.0,DEM,43.25,48.16,8.59,-4.909999999999997,CO
2016,Florida,9502747.0,4617886.0,4504975.0,379886.0,REP,48.6,47.41,4.0,1.1900000000000048,FL
2016,Maine,747927.0,335593.0,357735.0,54599.0,DEM,44.87,47.83,7.3,-2.960000000000001,ME
2016,Michigan,4824542.0,2279543.0,2268839.0,276160.0,REP,47.25,47.03,5.72,0.21999999999999886,MI
2016,Minnesota,2945233.0,1323232.0,1367825.0,254176.0,DEM,44.93,46.44,8.63,-1.509999999999998,MN
2016,Nevada,1125385.0,512058.0,539260.0,74067.0,DEM,45.5,47.92,6.58,-2.4200000000000017,NV
2016,New Hampshire,744296.0,345790.0,348526.0,49980.0,DEM,46.46,46.83,6.72,-0.36999999999999744,NH
2016,North Carolina,4741564.0,2362631.0,2189316.0,189617.0,REP,49.83,46.17,4.0,3.6599999999999966,NC
2016,Pennsylvania,6166938.0,2970742.0,2926458.0,269738.0,REP,48.17,47.45,4.37,0.7199999999999989,PA
2016,Wisconsin,2976150.0,1405284.0,1382536.0,188330.0,REP,47.22,46.45,6.33,0.769999999999996,WI
2020,Arizona,3397388.0,1661686.0,1672143.0,63559.0,DEM,48.91,49.22,1.87,-0.3100000000000023,AZ
2020,Florida,11092221.0,5668731.0,5297045.0,126445.0,REP,51.11,47.75,1.14,3.3599999999999994,FL
2020,Georgia,4999960.0,2461854.0,2473633.0,64473.0,DEM,49.24,49.47,1.29,-0.22999999999999687,GA
2020,Michigan,5547186.0,2649864.0,2804045.0,93277.0,DEM,47.77,50.55,1.68,-2.779999999999994,MI
